id,title,author,book_link,genre,date_published,publisher,num_of_page,lang,rate,Image URL,primary_genre,sub_genre
0,The Martian,Andy Weir,https://www.goodreads.com/book/show/18007564-the-martian,"Science Fiction,Fiction",February 11th 2014,"Crown

            ,",384,English,4.4,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1413706054i/18007564.jpg,Science Fiction,Fiction
1,Under the Banner of Heaven: A Story of Violent Faith,Jon Krakauer,https://www.goodreads.com/book/show/10847.Under_the_Banner_of_Heaven,"Nonfiction,Religion",2004,"Pan MacMillan

            ,",400,English,3.98,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1356441391i/10847.jpg,Nonfiction,Religion
2,Cutting for Stone,Abraham   Verghese,https://www.goodreads.com/book/show/3591262-cutting-for-stone,"Fiction,Historical",February 3rd 2009,"Alfred A. Knopf

            ,",541,English,4.29,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1553715166i/3591262.jpg,Fiction,Historical
3,We Need to Talk About Kevin,Lionel Shriver,https://www.goodreads.com/book/show/80660.We_Need_to_Talk_About_Kevin,"Fiction,Contemporary",July 3rd 2006,"Harper Perennial

            ,",400,English,4.04,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327865017i/80660.jpg,Fiction,Contemporary
4,The Immortal Life of Henrietta Lacks,Rebecca Skloot,https://www.goodreads.com/book/show/6493208-the-immortal-life-of-henrietta-lacks,"Nonfiction,Science",February 2nd 2010,"Crown Publishing Group

            ,",370,English,4.07,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327878144i/6493208.jpg,Nonfiction,Science
5,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,https://www.goodreads.com/book/show/113436.Eragon,"Fantasy,Young Adult",Apr-05,"Alfred A. Knopf

            ,",503,English,3.92,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1366212852i/113436.jpg,Fantasy,Young Adult
6,Unaccustomed Earth,Jhumpa Lahiri,https://www.goodreads.com/book/show/85301.Unaccustomed_Earth,"Fiction,Short Stories",2008,Knopf,352,English,4.07,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320398140i/85301.jpg,Fiction,Short Stories
7,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,https://www.goodreads.com/book/show/10664113-a-dance-with-dragons,"Fantasy,Fiction",July 12th 2011,Bantam,1125,English,4.31,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1581625286i/10664113.jpg,Fantasy,Fiction
8,The Outlands  (The Outlands Saga #1),Tyler Edwards,https://www.goodreads.com/book/show/56305116-the-outlands,"Young Adult,Science Fiction",December 14th 2020,iFlow Creative,452,English,4.17,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1608080517i/56305116.jpg,Young Adult,Science Fiction
9,"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,https://www.goodreads.com/book/show/7171637-clockwork-angel,"Fantasy,Young Adult",August 31st 2010,Margaret K. McElderry Books,479,English,4.3,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1693490271i/7171637.jpg,Fantasy,Young Adult
