Book_Title,Author,Rating,Reviewer,Review_Text,Positive_Score,Negative_Score,Positive_Words,Negative_Words,Book_URL,Cover_URL
"Onyx Storm (The Empyrean, #3)",Rebecca Yarros,4.23,Imme van Gorp,"|| 2.5 stars || Okay, I have a LOT to say, so buckle up, because this is going to be a long one. I’ll promise to be completely honest, though: no hate for the sake of hate, and no praise where it doesn’t deserve any. Just pure and total honesty.",0.225,0.19,"promise, praise","no, hate, no",https://www.goodreads.com/book/show/209439446-onyx-storm,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1720446357i/209439446.jpg
"Onyx Storm (The Empyrean, #3)",Rebecca Yarros,4.23,Rowan,"the potential is chasing Rebecca Yarros… but she’s faster!! we don’t know where the series is headed and giving this mess neither does Rebecca. i wish I can say that I wasn’t surprised, but actually i am, very surprised by onyx storm.",0.174,0.139,"giving, wish, surprised",mess,https://www.goodreads.com/book/show/209439446-onyx-storm,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1720446357i/209439446.jpg
"Onyx Storm (The Empyrean, #3)",Rebecca Yarros,4.23,Clace,"This was the most boring, dumbest fucking shit that I have ever read in my life. It actually made Iron Flame look decent. Let's start.",0.0,0.324,,"dumbest, shit",https://www.goodreads.com/book/show/209439446-onyx-storm,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1720446357i/209439446.jpg
"Onyx Storm (The Empyrean, #3)",Rebecca Yarros,4.23,Yun,"Can you really fill 500 pages with nothing but posturing and dithering, and call it a book? Apparently you can. What the heck happened here? Was Rebecca Yarros kidnapped and an imposter wrote this book? Did she crack under the pressure and had to ChatGPT it? Because this doesn't resemble at all the series I've come to know and love, and I'm left pretty speechless (well, not so speechless that I can't rant).",0.134,0.055,pretty,pressure,https://www.goodreads.com/book/show/209439446-onyx-storm,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1720446357i/209439446.jpg
"Onyx Storm (The Empyrean, #3)",Rebecca Yarros,4.23,manas," i need imogen to use her powers and wipe ALL of my memories from this shit  i am giving one, only ONE disclaimer. if you are going to be a smartass in my comments... blocked + reported. i am so done with all of these stans coming in and harassing and borderline abusing me and my friends for not liking this book. if you like it, good for you. this is a reflection of the author and her craft, not other readers. read whatever you want and leave the rest of us ALONE.",0.113,0.204,"giving, friends, liking, like, good, want","shit, smartass, blocked, harassing, abusing, leave",https://www.goodreads.com/book/show/209439446-onyx-storm,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1720446357i/209439446.jpg
"Onyx Storm (The Empyrean, #3)",Rebecca Yarros,4.23,ess ⚡︎,2.75   onyx storm  name storm ,0.0,0.0,,,https://www.goodreads.com/book/show/209439446-onyx-storm,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1720446357i/209439446.jpg
"Onyx Storm (The Empyrean, #3)",Rebecca Yarros,4.23,✩ Yaz ✩,4.5 -  Remember when I said if Onyx Storm doesn't win me over (since I had mixed feelings about Iron Flame) that I would quit the series?,0.0,0.123,win,,https://www.goodreads.com/book/show/209439446-onyx-storm,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1720446357i/209439446.jpg
"Onyx Storm (The Empyrean, #3)",Rebecca Yarros,4.23,Ali L,"Part One: Prologue - Chapter 20 It’s been five minutes since the end of book 2 and Violet “I Can Fix Him” Sorrengail is brain-arguing with her ancient teenage dragon. Andarna laments that she doesn’t know where she comes from, not dissimilarly to Gonzo’s plot in Muppets From Space. A bunch of stuff is discussed and despite having reread Iron Flame mere days before this book, I have absolutely no idea what the hell anyone is talking about. At one point Xaden is referred to as “His Grace” and my eyeballs melted out of my head. There is an Important Venin named Theophanie, a name so appallingly bad that I can’t even think of anything snarky to write that would be funnier than trying to say it out loud. Violet, who is stupid, insists that Xaden, who has Power Sucking Cooties, wouldn’t hurt a fly (Xaden disagrees). Then Xaden becomes a Defense Against the Dark Arts professor and honestly y’all at this point I almost gave up, I really did. I’ve said it before and I’ll say it again: if the fate of the world is in the hands of people in their early twenties, I’d rather just die.",0.042,0.131,"Important, funnier, Defense, honestly","laments, no, hell, appallingly, bad, hurt",https://www.goodreads.com/book/show/209439446-onyx-storm,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1720446357i/209439446.jpg
"Onyx Storm (The Empyrean, #3)",Rebecca Yarros,4.23,✨Julie✨, 2.4 stars  What to Expect:,0.0,0.0,,,https://www.goodreads.com/book/show/209439446-onyx-storm,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1720446357i/209439446.jpg
"Onyx Storm (The Empyrean, #3)",Rebecca Yarros,4.23,Emily May,"What a repetitive drag. I called it after Iron Flame-- there is just not five books worth of story here. I'm pretty certain this is where I part ways with this series. It's a shame because I am somewhat invested in these characters after spending 1,700 pages together, but I don't want another Throne of Glass situation where I keep coming back, hoping for something better when our chemistry has already fizzled out.",0.148,0.101,"worth, pretty, certain, want, hoping, better","repetitive, shame",https://www.goodreads.com/book/show/209439446-onyx-storm,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1720446357i/209439446.jpg
"Onyx Storm (The Empyrean, #3)",Rebecca Yarros,4.23,Fairuz ᥫ᭡.,"OH. MY. GOD. Y’all, I am fuming. Rebecca, girl, WHAT WAS THIS?! 🤦‍ I waited MONTHS, camped out like a feral dragon lover for this release, and THIS is what I get? Three days to read this, people—THREE DAYS! Do you know how fast I read?! A slump was breathing down my neck, and honestly, Onyx Storm almost succeeded in pulling me under. ",0.227,0.052,"like, lover, succeeded",,https://www.goodreads.com/book/show/209439446-onyx-storm,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1720446357i/209439446.jpg
"Onyx Storm (The Empyrean, #3)",Rebecca Yarros,4.23,Kimberly,"I’m going to need a year to recover from whatever the fuck that was.  Rebecca put her whole Yarrussy into this book🥲 Onyx Storm wrecked me in the best way. RY really said, “Oh, you thought you were emotionally stable? That’s cute.” The tension? Unmatched. The twists? Had me on the edge of my seat. The grip this entire series has on me? Absolutely suffocating.",0.087,0.11,best,fuck,https://www.goodreads.com/book/show/209439446-onyx-storm,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1720446357i/209439446.jpg
"Onyx Storm (The Empyrean, #3)",Rebecca Yarros,4.23,♥︎ Heather ⚔(Semi-Hiatus),"First of all... lemme tell you how mf tired I am of the internet and all the mf weirdo super Yarros fans who try and bully you when your opinion differs from theirs. Respectfully, eat a . I'm a January Aquarius bruh... we do not yield.",0.126,0.17,super,"tired, weirdo, bully",https://www.goodreads.com/book/show/209439446-onyx-storm,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1720446357i/209439446.jpg
"Onyx Storm (The Empyrean, #3)",Rebecca Yarros,4.23,Dez the Bookworm,Ok….well…… How does a series start out strong as hell and slowly take a steady decline until it just plummets?????,0.133,0.224,strong,hell,https://www.goodreads.com/book/show/209439446-onyx-storm,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1720446357i/209439446.jpg
"Onyx Storm (The Empyrean, #3)",Rebecca Yarros,4.23,Marianna Moore,7 because 6 stars simply isn’t enough. I actually am crawling into my grave and never coming out. I am sick. I am disgusted BY HOW COMPLETELY AND UTTERLY OBSESSED I AM WITH THIS SERIES!!!!!!! I actually can’t stop crying. All I know is pain and tears. I cannot form coherent thoughts. I cannot form a concise review because I don’t know how to speak. I don’t know how to exist? How do I keep living? I can’t. Guys this is my new favorite book ever…. Like how?! How?!!!!!!!! Xaden and violet are everything to me. No fictional couple will ever compare. It’s them or nothing.,0.048,0.25,"favorite, Like","grave, disgusted, OBSESSED, stop, pain, No",https://www.goodreads.com/book/show/209439446-onyx-storm,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1720446357i/209439446.jpg
"Onyx Storm (The Empyrean, #3)",Rebecca Yarros,4.23,Brooke Averick,"Three stars is very generous. Being kept in the dark about each one of Violet’s “plans” made this book impossible to follow, and I lost interest fast. How am I supposed to care about anything she does when I genuinely have no idea what she’s doing or why she’s doing it. Everything about this book was confusing, especially all of the foreshadowing that never came to fruition. I can’t even imagine how brutal that’ll make the next book (if I even read it.) And Xaden… what happened to you (besides the obvious)? Where’s the revolutionary I fell for? The man who would have done anything to protect his home? Him not giving a shit about anything besides Violet really ruined his character for me. In fact, I found myself pining after Dain more than once. And him calling Violet “love” gave me the ick. And the end… what even. I’m mad.",0.092,0.118,"interest, care, protect, giving","lost, no, brutal, shit, ruined",https://www.goodreads.com/book/show/209439446-onyx-storm,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1720446357i/209439446.jpg
"Onyx Storm (The Empyrean, #3)",Rebecca Yarros,4.23,Ali Goodwin,"FIVE FREAKING STARS! sooo gooood!!! If you told me I would've given this book 5 stars at the beginning, I wouldn't have believed you bc I was so confused the first few chapters. But then the confusion cleared and this book gave me all the feels fourth wing gave me. THE ROMANCE! THE WAY XADEN WOULD DIE FOR VIOLET! I will never get enough of this man.",0.097,0.188,cleared,"FREAKING, confused, confusion, DIE",https://www.goodreads.com/book/show/209439446-onyx-storm,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1720446357i/209439446.jpg
"Onyx Storm (The Empyrean, #3)",Rebecca Yarros,4.23,Yana,"7 STARS  listen when I tell you this bc I am so fucking serious. THIS IS HANDS DOWN NOT ONLY THE BEST BOOK IN THE SERIES BY FAR, BUT THE BEST BOOK THAT I HAVE EVER READ. Rebecca DELIVERED with this one. The banter, the plot, the character development 100/10. I read this all day, in one sitting and under 24 hours and I literally might never read a book that can be on the same level as this.",0.0,0.118,"BEST, BEST",,https://www.goodreads.com/book/show/209439446-onyx-storm,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1720446357i/209439446.jpg
